Location,Gen_comp,Count,Total
NS-T0,dsDNA,327,380
NS-T0,Unknown,53,380
NS-T14,dsDNA,929,1112
NS-T14,Unknown,183,1112
ME-T0,dsDNA,567,654
ME-T0,ssDNA(+),5,654
ME-T0,Unknown,82,654
ME-T14,dsDNA,722,811
ME-T14,ssDNA(+/-),2,811
ME-T14,ssRNA-RT,2,811
ME-T14,Unknown,85,811
NH-T0,dsDNA,572,744
NH-T0,ssDNA(+/-),48,744
NH-T0,Unknown,121,744
NH-T0,ssDNA(+),1,744
NH-T0,ssRNA-RT,2,744
NH-T14,dsDNA,758,925
NH-T14,ssRNA(+),16,925
NH-T14,Unknown,148,925
NH-T14,ssDNA(+/-),1,925
NH-T14,ssRNA-RT,2,925
FIELD-T0,dsDNA,982,1103
FIELD-T0,Unknown,117,1103
FIELD-T0,ssDNA(+),3,1103
FIELD-T0,ssRNA(+),1,1103
FIELD-T14,dsDNA,495,559
FIELD-T14,Unknown,63,559
FIELD-T14,ssRNA(-),1,559
MA-T0,dsDNA,426,475
MA-T0,Unknown,49,475
MA-T14,dsDNA,865,1039
MA-T14,Unknown,169,1039
MA-T14,ssDNA(+/-),2,1039
MA-T14,ssRNA-RT,2,1039
MA-T14,ssDNA(+),1,1039
SC-T0,dsDNA,257,315
SC-T0,ssRNA(+),1,315
SC-T0,Unknown,14,315
SC-T0,ssDNA(+/-),4,315
SC-T0,ssDNA(+),2,315
SC-T14,dsDNA,1057,1342
SC-T14,ssDNA(+/-),31,1342
SC-T14,Unknown,232,1342
SC-T14,ssRNA(-),1,1342
SC-T14,ssDNA(+),17,1342
SC-T14,ssRNA(+),2,1342
SC-T14,ssRNA-RT,2,1342
FL-T0,dsDNA,415,461
FL-T0,Unknown,46,461
FL-T14,dsDNA,893,1077
FL-T14,Unknown,169,1077
FL-T14,ssRNA(+),8,1077
FL-T14,ssDNA(+/-),2,1077
FL-T14,ssDNA(+),4,1077
FL-T14,ssRNA(-),1,1077
