## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_048722159.1 -2.5213319  6.574034 5.795999e-30 3.898389e-26
XM_048722160.1 -2.3722544  6.009253 1.217256e-22 4.093631e-19
XM_048725419.1  3.2426888  8.423007 5.981208e-21 1.340987e-17
XM_032371448.2  2.6369726  6.727907 1.763132e-20 2.964707e-17
XM_032365057.2 -1.9196308  5.273584 3.325571e-19 4.473558e-16
XM_048729797.1  1.8860847  6.483158 5.951691e-18 6.671845e-15
XM_001631917.3 -1.9703229  6.413096 9.619291e-18 9.242764e-15
XM_032381798.2  2.1670069  6.785579 4.242978e-17 3.567283e-14
XM_048733772.1 -1.7403715  5.792454 2.375680e-16 1.775425e-13
XR_007306253.1 -1.8202388  6.535892 3.049900e-16 2.051363e-13
XM_032384595.2 -2.1285330  5.748554 3.024611e-15 1.849412e-12
XM_048733739.1 -2.4154256  6.430064 5.619980e-15 3.149999e-12
XM_048721139.1 -2.0643652  5.717797 1.340080e-14 6.933366e-12
XM_001631422.3 -1.5299430  4.948986 2.774926e-14 1.333154e-11
XR_004296111.2 -1.7717113  4.933644 6.562253e-14 2.942514e-11
XM_032364702.2  1.9128984  6.841918 9.109715e-14 3.829496e-11
XM_048722170.1  2.3325312  6.187600 2.099127e-13 8.305135e-11
XM_032380597.2  1.8254377  5.277233 4.275580e-13 1.597642e-10
XR_007314237.1 -3.0095314  5.717629 4.656855e-13 1.648527e-10
XM_001626916.3 -1.6214676  4.669120 9.437511e-13 3.173835e-10
XM_032381817.2  1.8675007  6.547425 1.597535e-12 4.996857e-10
XR_007307279.1 -3.1908542  6.142550 1.634416e-12 4.996857e-10
XM_001636932.3 -1.5293531  6.317579 2.450957e-12 7.167452e-10
XM_048731924.1 -1.9574014  6.513282 2.995847e-12 8.395863e-10
XM_001628740.3 -1.5554138  8.908237 3.135992e-12 8.437073e-10
XM_048730410.1 -1.3861312  5.219857 7.747709e-12 2.004273e-09
XM_032381836.2  1.6835888  6.470863 1.258271e-11 3.134492e-09
XM_032377385.2 -1.9682178  6.668490 1.345226e-11 3.231425e-09
XM_032375894.2 -1.4124512  4.832703 2.362917e-11 5.480337e-09
XM_048725998.1  2.0954307  6.220850 2.533924e-11 5.681057e-09
XM_001636779.3  1.5537068  5.421816 2.962082e-11 6.426762e-09
XM_048725113.1 -1.3324563  4.879795 3.376464e-11 7.096905e-09
XR_007312608.1 -1.7733130  5.549572 4.020980e-11 8.195488e-09
XM_048724181.1 -1.8351015  7.203925 5.785966e-11 1.144600e-08
XM_032373961.2  1.4753740  6.393471 9.508287e-11 1.827221e-08
XM_048720646.1 -1.4725205  6.027739 1.406790e-10 2.628353e-08
XM_032364677.2  1.6152971  8.476179 1.854025e-10 3.370317e-08
XM_048724444.1 -1.4069715  8.704339 3.240587e-10 5.735839e-08
XM_001639370.3  1.5916623  5.298250 4.865704e-10 8.391469e-08
XM_001637574.3 -1.5250979  7.340094 5.655256e-10 9.509313e-08
XM_032385159.2  1.4639616  5.220252 6.237963e-10 1.023330e-07
XM_032363883.2 -1.3506352  5.341880 1.090865e-09 1.746943e-07
XM_048732559.1 -2.1982213  5.013625 1.133054e-09 1.772307e-07
XR_007306819.1  2.2122180  6.402858 1.169035e-09 1.787030e-07
XM_032384412.2 -1.2548484  4.825207 1.209869e-09 1.808350e-07
XM_001624583.3 -1.2603566  4.415444 1.384666e-09 2.024623e-07
XM_048720444.1  1.3378531  5.974979 1.596418e-09 2.284576e-07
XM_048722169.1  2.2200905  5.704868 2.379989e-09 3.334960e-07
XM_048734432.1 -1.2433081  6.296868 2.519389e-09 3.458247e-07
XM_032386927.2  1.2600303  5.969091 2.758802e-09 3.711140e-07
XR_007306442.1 -1.1367088  4.608214 3.326775e-09 4.387429e-07
XM_032378637.2 -1.5995690  7.302121 3.518110e-09 4.489262e-07
XM_032362243.2  1.2633678  5.421343 3.537480e-09 4.489262e-07
XM_032365054.2 -2.4180981  8.392071 3.729567e-09 4.645382e-07
XM_032367285.2  1.6671091  5.436072 3.822760e-09 4.674888e-07
XM_032385537.2 -1.4897842  5.462793 4.597734e-09 5.475678e-07
XM_048727755.1 -1.3957594  5.187556 4.640405e-09 5.475678e-07
XM_048725092.1  1.2047374  5.373012 7.035851e-09 8.159162e-07
XM_048720966.1  1.8512539  6.058683 7.826706e-09 8.922445e-07
XM_032377986.2  1.1555921  6.111813 8.539846e-09 9.473432e-07
XM_032366183.2 -1.2459047  4.675440 8.591724e-09 9.473432e-07
XR_007307164.1 -1.2286403  4.958630 8.837807e-09 9.587595e-07
XM_001633601.3 -1.3751015  5.455508 9.025054e-09 9.635320e-07
XM_032367765.2  1.3420271  5.841669 9.535903e-09 1.002164e-06
XM_048721466.1 -1.3382887  8.163811 1.088311e-08 1.126151e-06
XM_032381131.2  1.3228281  4.778763 1.271978e-08 1.296262e-06
XM_048726696.1  1.1620261  5.172727 1.327758e-08 1.332911e-06
XM_032385144.2 -1.2319034  6.111448 1.368510e-08 1.340478e-06
XM_001623270.3 -1.1260937  5.721388 1.375155e-08 1.340478e-06
XM_048732914.1 -1.2471521  5.094327 1.490052e-08 1.420058e-06
XM_032387420.2  1.5188362  7.678768 1.499020e-08 1.420058e-06
XM_001636816.3  1.5740458  7.021528 1.618595e-08 1.512037e-06
XM_032364675.2  1.4211254  7.448603 1.934344e-08 1.778003e-06
XM_048720927.1 -2.3569833  6.630639 1.956174e-08 1.778003e-06
XR_007306627.1 -2.2027462  7.759817 2.345499e-08 2.103444e-06
XM_048732544.1  1.4543563  4.906684 2.560321e-08 2.265884e-06
XM_048725404.1 -1.2731817  7.092422 2.811172e-08 2.455577e-06
XM_048729734.1 -1.2026687  5.335958 2.962545e-08 2.554625e-06
XM_001630068.3  1.5290421  7.408103 3.337212e-08 2.841277e-06
XM_048733318.1 -1.2404019  5.690828 3.873788e-08 3.221379e-06
XR_007313759.1 -0.9974938  4.077698 3.879448e-08 3.221379e-06
XM_032383008.2  1.4382328  4.941510 4.120659e-08 3.379946e-06
XM_032386693.2  1.4741881  5.668567 4.427678e-08 3.588019e-06
XM_001641929.3 -1.0628631  4.724773 4.765453e-08 3.815767e-06
XM_048729371.1  1.0852770  6.024423 5.514728e-08 4.323569e-06
XM_048732270.1  1.4960232 10.330414 5.528203e-08 4.323569e-06
XM_048727213.1  0.9862157  4.414713 5.932848e-08 4.574862e-06
XM_001625226.3 -1.0531192  4.735704 5.985546e-08 4.574862e-06
XM_048721268.1 -1.0775431  5.319938 6.305888e-08 4.765551e-06
XM_048723557.1 -1.4157582  5.657128 6.462227e-08 4.829437e-06
XM_048723628.1 -1.1001609  4.476230 7.294738e-08 5.391693e-06
XM_048727409.1 -0.9475990  4.172173 7.391353e-08 5.403722e-06
XM_032372897.2 -1.1062445  5.331778 8.895486e-08 6.433445e-06
XM_048725085.1 -2.4237981  6.913037 9.525955e-08 6.816125e-06
XM_048719902.1  1.0706592  5.412657 9.768226e-08 6.915904e-06
XM_048720462.1  1.2183809  5.065073 1.006285e-07 7.050288e-06
XM_032373970.2  1.0966887  5.549936 1.187942e-07 8.237214e-06
XM_032369016.2 -1.6249961  4.763010 1.319340e-07 9.054982e-06
XM_001622287.3  1.9008316  6.342748 1.495861e-07 1.016279e-05
XM_048724548.1 -1.0164225  4.289629 1.745698e-07 1.163544e-05
XM_048734086.1  1.5947239  5.563800 1.747219e-07 1.163544e-05
XM_048720799.1  1.3969771  5.684471 1.829663e-07 1.206501e-05
XM_032380321.2 -0.9973873  4.586814 2.032021e-07 1.326929e-05
XM_001641807.3  1.3523112  4.866407 2.157253e-07 1.390601e-05
XM_048722917.1 -1.1003975  4.286319 2.170876e-07 1.390601e-05
XM_032366022.2  1.4177594  4.884048 2.496088e-07 1.583839e-05
XM_048720920.1 -1.1190396  4.652866 2.597757e-07 1.619086e-05
XR_007308206.1 -1.1943418  5.028979 2.599781e-07 1.619086e-05
XM_001619797.3  1.1861292  5.057252 2.976246e-07 1.835257e-05
XM_048724741.1  1.9940519  9.445782 3.023067e-07 1.835257e-05
XM_001626671.3 -1.0259780  5.605669 3.028747e-07 1.835257e-05
XM_032366283.2  1.7750345  6.570776 3.115533e-07 1.870989e-05
XM_048723498.1  1.1113297  7.256700 3.620421e-07 2.154951e-05
XM_048723494.1  1.0552623  6.061415 3.802909e-07 2.243716e-05
XM_001630411.3 -1.0415896  5.310438 4.106231e-07 2.401610e-05
XM_048733738.1 -1.9911577  6.243884 4.184960e-07 2.426555e-05
XM_032384093.2  1.1245118  6.826660 4.584396e-07 2.635440e-05
XM_032386726.2 -1.1107299  7.071121 4.722650e-07 2.691910e-05
XM_001640910.3  1.4605174  5.893438 5.579253e-07 3.153450e-05
XM_032380381.2 -1.1031079  4.610479 5.954135e-07 3.337293e-05
XM_048732713.1  1.0026423  4.635443 6.105976e-07 3.394116e-05
XM_032382924.2 -0.9667052  4.766949 6.279349e-07 3.461877e-05
XM_048724186.1  1.4286201  5.697416 6.393031e-07 3.495897e-05
XM_032366282.2  1.4419665  6.021589 7.067844e-07 3.833736e-05
XM_032375406.2 -1.1804918  5.162243 7.267438e-07 3.910463e-05
XM_032369459.2 -0.9596980  4.306951 7.439396e-07 3.971220e-05
XM_048721305.1  1.6620946  8.472836 7.563161e-07 4.005498e-05
XM_048725109.1  1.5913513  7.840154 8.897894e-07 4.675565e-05
XM_032381933.2  1.0372827  5.082351 9.174082e-07 4.783323e-05
XM_032383013.2 -1.1372762  5.126529 9.824999e-07 5.083304e-05
XM_001628020.3 -1.1970465  5.853479 1.000267e-06 5.135723e-05
XM_032363196.2 -1.0123590  4.226486 1.102237e-06 5.616401e-05
XM_032373875.2 -1.1648041  7.402318 1.115310e-06 5.640282e-05
XM_001633335.3 -1.0933612  8.337889 1.158426e-06 5.814605e-05
XM_032373529.2 -0.8747742  4.149651 1.221501e-06 6.073459e-05
XR_007307206.1  1.8773494  8.378976 1.228056e-06 6.073459e-05
XM_032385462.2  0.9623242  4.551586 1.301170e-06 6.388080e-05
XM_048734670.1  1.5186443  5.680908 1.362804e-06 6.642187e-05
XM_048728026.1 -1.4776170  6.523459 1.491978e-06 7.219456e-05
XM_032375362.2  1.3077661  6.390024 1.537171e-06 7.385008e-05
XM_032380975.2  1.0835500  8.053935 1.571706e-06 7.497373e-05
XM_001626761.3 -1.0530468  6.998419 1.597289e-06 7.565751e-05
XR_004295687.2  1.9266030  5.654593 1.693170e-06 7.963818e-05
XM_048731319.1 -0.9665497  5.323811 1.709622e-06 7.985357e-05
XM_048721809.1 -0.9400141  5.867273 2.000874e-06 9.281297e-05
XM_048730053.1  1.1713574  6.441339 2.196932e-06 1.006961e-04
XM_048728555.1 -1.0651498  4.518028 2.200763e-06 1.006961e-04
XM_001634477.3 -0.9845368  4.740842 2.278279e-06 1.035386e-04
XM_032363960.2  1.0879283  5.835116 2.295053e-06 1.036008e-04
XM_001630315.3 -0.9246906  5.084192 2.319765e-06 1.040182e-04
XM_048730433.1  0.9684928  5.230994 2.457264e-06 1.094540e-04
XM_001627064.3 -1.3220613  7.442460 2.491143e-06 1.102331e-04
XM_048729796.1  1.4308359  7.646338 2.510169e-06 1.103490e-04
XM_048734697.1 -0.9561897  5.488242 2.642259e-06 1.154015e-04
XM_048724737.1 -1.2563161  6.036434 2.697880e-06 1.170706e-04
XM_001630535.3 -0.8430919  4.419215 2.717557e-06 1.171685e-04
XM_048732936.1 -1.4021380  4.639503 2.772219e-06 1.187640e-04
XM_048723705.1  1.0861825  6.076439 3.034409e-06 1.291736e-04
XM_048731204.1 -1.1201181  4.799024 3.116069e-06 1.306256e-04
XM_048724165.1 -1.2444175  4.710688 3.124911e-06 1.306256e-04
XM_032377758.1  1.1329442  5.295668 3.126781e-06 1.306256e-04
XM_048725000.1 -1.1369223  8.624922 3.194656e-06 1.326374e-04
XM_001635555.3 -1.0997950  6.703484 3.251490e-06 1.341688e-04
XM_048733179.1  1.5799313  5.574395 3.323792e-06 1.363160e-04
XR_007312590.1 -0.9316533  4.796401 3.375540e-06 1.375993e-04
XR_004295015.2  1.1898188  5.147547 3.579212e-06 1.450228e-04
XM_048726312.1  1.2384139  5.531620 3.641228e-06 1.466521e-04
XM_032376510.2 -0.9806121  4.373989 4.097460e-06 1.629695e-04
XM_048728572.1  1.0792552  5.110732 4.117511e-06 1.629695e-04
